Interaction_Term	df	deviance	residual_df	residual_deviance	AIC	p_value
Animal Environment × PhG	12	16.0939598457924	1137	1392.96952985221	1438.96952985221	0.186970337857641
Animal Environment × ARG Presence	2	4.31628701323234	1147	1404.74720268477	1430.74720268477	0.115539420223219
Animal Environment × Sample Source	2	4.42905474888789	1147	1404.63443494912	1430.63443494912	0.10920511518183
PhG × ARG Presence	6	19.7503685857696	1143	1389.31312111223	1423.31312111223	0.0030673394661505
PhG × Sample Source	6	11.1349456659248	1143	1397.92854403208	1431.92854403208	0.0842942452215633
Sample Source × ARG Presence	1	1.28083937414021	1148	1407.78265032386	1431.78265032386	0.257743026206815
