V1	V2	X-squared	df	p.val	Cramers_v_adjusted	CI	CI_low	CI_high
Generic_Host	PhG	316.390656764837	12	1.68766282750659e-60	0.356422748137973	0.95	0.308561505488488	0.39102782615379
Generic_Host	Source_Niche	485.657563806831	2	3.47376129623237e-106	0.635124407232979	0.95	0.577704444225581	0.691205427171906
Generic_Host	Acq_Resist	96.938294865756	2	8.9149051598451e-22	0.281389221455013	0.95	0.222370109794683	0.337133964127911
PhG	Source_Niche	53.8788809592016	6	7.80388862580519e-10	0.19982041580897	0.95	0.1247888716537	0.249859883614723
PhG	Acq_Resist	42.9318536213783	6	1.20321916123007e-07	0.175493763418845	0.95	0.0954006004345707	0.225083105821487
Source_Niche	Acq_Resist	3.3746841269761	1	0.0662052696232293	0.0444956141055205	0.95	0	0.105780976960498
