Interaction_Term	df	deviance	residual_df	residual_deviance	AIC	p_value
Animal Environment × PhG	12	18.3730060421176	1177	1414.42417578808	1460.42417578808	0.104825235300076
Animal Environment × ARG Presence	2	3.77012914857323	1187	1429.02705268163	1455.02705268163	0.151819255492775
Animal Environment × Sample Source	2	5.3392484085673	1187	1427.45793342163	1453.45793342163	0.069278254889561
PhG × ARG Presence	6	18.6914217707172	1183	1414.10576005948	1448.10576005948	0.00471779127898749
PhG × Sample Source	6	11.7925280711238	1183	1421.00465375908	1455.00465375908	0.0667605573507263
Sample Source × ARG Presence	1	1.05290224055329	1188	1431.74427958965	1455.74427958965	0.304839620424532
